image,iou
andor_boruth_19.jpeg,0.5947
andor_boruth_27.jpeg,0.1208
andor_boruth_39.jpeg,0.7169
andor_boruth_53.jpeg,0.0000
andor_boruth_9.jpeg,0.0000
elemir_halasz_hradil_2.jpg,0.6115
elemir_halasz_hradil_24.jpeg,0.0000
elemir_halasz_hradil_29.jpg,0.0000
elemir_halasz_hradil_33.jpg,0.0000
elemir_halasz_hradil_36.jpg,0.7229
jan_mudroch_14.jpeg,0.0295
jan_mudroch_21.jpeg,0.0000
jan_mudroch_24.jpeg,0.7420
jan_mudroch_34.jpeg,0.0000
jan_mudroch_39.jpeg,0.7584
jozef_hanula_24.jpg,0.0136
jozef_hanula_28.jpg,0.0000
jozef_hanula_33.jpg,0.0000
jozef_hanula_39.jpg,0.0000
jozef_hanula_7.jpg,0.0000
ladislav_cemicky_1.jpeg,0.0000
ladislav_cemicky_11.jpeg,0.6704
ladislav_cemicky_18.jpeg,0.0341
ladislav_cemicky_23.jpeg,0.1076
ladislav_cemicky_28.jpeg,0.0000
ladislav_mednyanszky_14.jpg,0.0000
ladislav_mednyanszky_23.jpg,0.0000
ladislav_mednyanszky_58.jpg,0.0000
ladislav_mednyanszky_63.jpg,0.0000
ladislav_mednyanszky_65.jpeg,0.0000
ludovit_pitthordt_24.jpg,0.0000
ludovit_pitthordt_28.jpg,0.6657
ludovit_pitthordt_3.jpg,0.7221
ludovit_pitthordt_31.jpg,0.0008
ludovit_pitthordt_42.jpeg,0.5203
maria_medvecka_10.jpeg,0.0000
maria_medvecka_2.jpeg,0.7512
maria_medvecka_26.jpeg,0.7116
maria_medvecka_29.jpeg,0.0000
maria_medvecka_33.jpeg,0.0000
maximilian_kurth_22.jpeg,0.0000
maximilian_kurth_26.jpeg,0.6915
maximilian_kurth_27.jpeg,0.0000
maximilian_kurth_34.jpeg,0.0000
maximilian_kurth_9.jpeg,0.0000
milan_thomka_mitrovksy_113.jpeg,0.6888
milan_thomka_mitrovksy_14.jpg,0.6948
milan_thomka_mitrovksy_29.jpg,0.0006
milan_thomka_mitrovksy_5.jpg,0.7048
milan_thomka_mitrovksy_51.jpeg,0.5858
peter_michal_bohun_26.jpg,0.7362
peter_michal_bohun_44.jpg,0.8372
peter_michal_bohun_58.jpg,0.6816
peter_michal_bohun_63.jpeg,0.6521
peter_michal_bohun_86.jpeg,0.5422
